"song" "line" "artist"
"348" "Blind" "I am blind, mmm" "Swans"
"349" "Blind" "I am blind, mmm" "Swans"
"350" "Blind" "I am blind, mmm" "Swans"
"351" "Blind" "Mmm" "Swans"
"352" "Big Strong Boss" "Stupid snake" "Swans"
"353" "Big Strong Boss" "Big strong boss" "Swans"
"354" "Big Strong Boss" "Break my back" "Swans"
"355" "Big Strong Boss" "Blood runs black" "Swans"
"356" "Big Strong Boss" "Cut my throat, black" "Swans"
"357" "Big Strong Boss" "Cut my throat, black" "Swans"
"358" "Big Strong Boss" "Throat, black" "Swans"
"359" "Big Strong Boss" "Throat, black" "Swans"
"360" "Big Strong Boss" "Throat, black" "Swans"
"361" "Big Strong Boss" "Black" "Swans"
"362" "Big Strong Boss" "You're boss" "Swans"
"363" "Big Strong Boss" "Big strong boss" "Swans"
"364" "Big Strong Boss" "Break, back" "Swans"
"365" "Big Strong Boss" "Break, back" "Swans"
"366" "Big Strong Boss" "Boss, back" "Swans"
"367" "Big Strong Boss" "Boss, back" "Swans"
"368" "Big Strong Boss" "Boss, back" "Swans"
"369" "Big Strong Boss" "Big strong boss" "Swans"
"370" "Big Strong Boss" "Big strong boss" "Swans"
"371" "Big Strong Boss" "Big strong boss" "Swans"
"372" "Big Strong Boss" "Big strong boss" "Swans"
"373" "Big Strong Boss" "Boss, back" "Swans"
"374" "Big Strong Boss" "Boss, back" "Swans"
"375" "Big Strong Boss" "Boss, back" "Swans"
"376" "Big Strong Boss" "Boss, back" "Swans"
"377" "Big Strong Boss" "Boss, back" "Swans"
"378" "Big Strong Boss" "Back" "Swans"
"379" "Big Strong Boss" "Back" "Swans"
"380" "Big Strong Boss" "Back" "Swans"
"381" "Big Strong Boss" "Back" "Swans"
"382" "Big Strong Boss" "Ba-" "Swans"
"383" "Avatar" "Your light is in my hand" "Swans"
"384" "Avatar" "Your light is in my hand" "Swans"
"385" "Avatar" "Your light is in my hand" "Swans"
"386" "Avatar" "Your light is in my hand" "Swans"
"387" "Avatar" "Your mind is in my eye" "Swans"
"388" "Avatar" "Your mind is in my eye" "Swans"
"389" "Avatar" "Your mind is in my eye" "Swans"
"390" "Avatar" "Your eye is in my mind" "Swans"
"391" "Avatar" "Your mind is in my eye" "Swans"
"392" "Avatar" "Your eye is in my eye" "Swans"
"393" "Avatar" "Your eye is in my eye" "Swans"
"394" "Avatar" "Your eye is in my eye" "Swans"
"395" "Avatar" "Your eye is in my eye" "Swans"
"396" "Avatar" "Your eye is in my eye" "Swans"
"397" "Avatar" "Here, here" "Swans"
"398" "Avatar" "Here, here" "Swans"
"399" "A Screw (Holy Money) (Mix)" "Keep your head on the ground" "Swans"
"400" "A Screw (Holy Money) (Mix)" "Keep your head on the ground" "Swans"
"401" "A Screw (Holy Money) (Mix)" "Push your ass up" "Swans"
"402" "A Screw (Holy Money) (Mix)" "Push your ass up" "Swans"
"403" "A Screw (Holy Money) (Mix)" "Move it around" "Swans"
"404" "A Screw (Holy Money) (Mix)" "Move it around" "Swans"
"405" "A Screw (Holy Money) (Mix)" "Move it around" "Swans"
"406" "A Screw (Holy Money) (Mix)" "Move it around (Open your mouth)" "Swans"
"407" "A Screw (Holy Money) (Mix)" "Cry (Here's your money)" "Swans"
"408" "A Screw (Holy Money) (Mix)" "Cry (Open your mouth)" "Swans"
"409" "A Screw (Holy Money) (Mix)" "Open your mouth (Here's your money)" "Swans"
